year,period,periodName,latest,value,footnotes,seriesID
2024,M02,February,true,45192,"[{'code': 'P', 'text': 'Preliminary.'}]",LAUIM371674000000004
2024,M01,January,,43910,[{}],LAUIM371674000000004
2023,M12,December,,38829,"[{'code': 'P', 'text': 'Preliminary.'}]",LAUIM371674000000004
2023,M11,November,,40436,[{}],LAUIM371674000000004
2023,M10,October,,40193,[{}],LAUIM371674000000004
2023,M09,September,,38539,[{}],LAUIM371674000000004
2023,M08,August,,42831,[{}],LAUIM371674000000004
2023,M07,July,,42362,[{}],LAUIM371674000000004
2023,M06,June,,42380,[{}],LAUIM371674000000004
2023,M05,May,,40271,[{}],LAUIM371674000000004
2023,M04,April,,37094,[{}],LAUIM371674000000004
2023,M03,March,,42518,[{}],LAUIM371674000000004
2023,M02,February,,42192,[{}],LAUIM371674000000004
2023,M01,January,,43159,[{}],LAUIM371674000000004
2022,M12,December,,37324,[{}],LAUIM371674000000004
2022,M11,November,,41559,[{}],LAUIM371674000000004
2022,M10,October,,42834,[{}],LAUIM371674000000004
2022,M09,September,,40038,[{}],LAUIM371674000000004
2022,M08,August,,48005,[{}],LAUIM371674000000004
2022,M07,July,,45178,[{}],LAUIM371674000000004
2022,M06,June,,45660,[{}],LAUIM371674000000004
2022,M05,May,,40655,[{}],LAUIM371674000000004
2022,M04,April,,37126,[{}],LAUIM371674000000004
2022,M03,March,,40326,[{}],LAUIM371674000000004
2022,M02,February,,42792,[{}],LAUIM371674000000004
2022,M01,January,,44741,[{}],LAUIM371674000000004
2021,M12,December,,38069,[{}],LAUIM371674000000004
2021,M11,November,,45034,[{}],LAUIM371674000000004
2021,M10,October,,48996,[{}],LAUIM371674000000004
2021,M09,September,,47804,[{}],LAUIM371674000000004
2021,M08,August,,54376,[{}],LAUIM371674000000004
2021,M07,July,,57852,[{}],LAUIM371674000000004
2021,M06,June,,62152,[{}],LAUIM371674000000004
2021,M05,May,,58307,[{}],LAUIM371674000000004
2021,M04,April,,58687,[{}],LAUIM371674000000004
2021,M03,March,,60557,[{}],LAUIM371674000000004
2021,M02,February,,65656,[{}],LAUIM371674000000004
2021,M01,January,,66618,[{}],LAUIM371674000000004
2020,M12,December,,62305,[{}],LAUIM371674000000004
2020,M11,November,,63315,[{}],LAUIM371674000000004
2020,M10,October,,63472,[{}],LAUIM371674000000004
