,year,month,value,rate
0,2015,April,15827,5.0
1,2015,August,17890,5.7
2,2015,December,15514,4.9
3,2015,February,16958,5.4
4,2015,January,17733,5.6
5,2015,July,19071,6.0
6,2015,June,18681,5.9
7,2015,March,16437,5.2
8,2015,May,18246,5.7
9,2015,November,16319,5.1
10,2015,October,16357,5.1
11,2015,September,16255,5.1
12,2016,April,14331,4.5
13,2016,August,16317,5.1
14,2016,December,14231,4.4
15,2016,February,15679,4.9
16,2016,January,16075,5.1
17,2016,July,16502,5.1
18,2016,June,16462,5.1
19,2016,March,15418,4.8
20,2016,May,15046,4.7
21,2016,November,14619,4.5
22,2016,October,15117,4.7
23,2016,September,15056,4.7
24,2017,April,12467,3.9
25,2017,August,14896,4.7
26,2017,December,12311,3.9
27,2017,February,14433,4.5
28,2017,January,15136,4.8
29,2017,July,14747,4.6
30,2017,June,14575,4.5
31,2017,March,13510,4.2
32,2017,May,13802,4.3
33,2017,November,13114,4.1
34,2017,October,12860,4.0
35,2017,September,12894,4.0
36,2018,April,11135,3.5
37,2018,August,12789,4.0
38,2018,December,11709,3.6
39,2018,February,12950,4.0
40,2018,January,13005,4.1
41,2018,July,12963,4.0
42,2018,June,13376,4.1
43,2018,March,12288,3.8
44,2018,May,11623,3.6
45,2018,November,11475,3.5
46,2018,October,11591,3.6
47,2018,September,11037,3.4
48,2019,April,10582,3.3
49,2019,August,12987,4.0
50,2019,December,10628,3.3
51,2019,February,12183,3.7
52,2019,January,13017,4.0
53,2019,July,13026,4.0
54,2019,June,13042,4.0
55,2019,March,11996,3.7
56,2019,May,11986,3.7
57,2019,November,11205,3.4
58,2019,October,11390,3.5
59,2019,September,10801,3.3
60,2020,April,41556,13.8
61,2020,August,20240,6.5
62,2020,December,17295,5.5
63,2020,February,11480,3.5
64,2020,January,11946,3.7
65,2020,July,28613,9.1
66,2020,June,31012,9.9
67,2020,March,13766,4.4
68,2020,May,36547,11.9
69,2020,November,17215,5.5
70,2020,October,17080,5.4
71,2020,September,19551,6.2
72,2021,April,15968,5.0
73,2021,August,15212,4.8
74,2021,December,10464,3.2
75,2021,February,17975,5.7
76,2021,January,18367,5.8
77,2021,July,16133,5.1
78,2021,June,17380,5.4
79,2021,March,16567,5.2
80,2021,May,16110,5.1
81,2021,November,12519,3.8
82,2021,October,13633,4.2
83,2021,September,13433,4.2
84,2022,April,10448,3.2
85,2022,August,13635,4.1
86,2022,December,10379,3.2
87,2022,February,11839,3.6
88,2022,January,12325,3.8
89,2022,July,12961,3.9
90,2022,June,13173,4.0
91,2022,March,11059,3.3
92,2022,May,11732,3.5
93,2022,November,11644,3.5
94,2022,October,12126,3.6
95,2022,September,11285,3.4
96,2023,April,10202,3.0
97,2023,August,11788,3.5
98,2023,December,10263,3.0
99,2023,February,11480,3.5
100,2023,January,11893,3.6
101,2023,July,11872,3.5
102,2023,June,11951,3.6
103,2023,March,11521,3.4
104,2023,May,11263,3.3
105,2023,November,10988,3.2
106,2023,October,11108,3.3
107,2023,September,10696,3.1
108,2024,February,11773,3.6
109,2024,January,11593,3.5
