,year,month,value,rate,city
0,2015,April,15827,5.0,winstonsalem
1,2015,April,19930,5.5,greensboro
2,2015,April,28819,4.4,raleigh
3,2015,April,53456,5.1,charlotte
4,2015,August,17890,5.7,winstonsalem
5,2015,August,22314,6.1,greensboro
6,2015,August,33120,5.0,raleigh
7,2015,August,59095,5.6,charlotte
8,2015,December,15514,4.9,winstonsalem
9,2015,December,19395,5.4,greensboro
10,2015,December,29053,4.4,raleigh
11,2015,December,51586,4.8,charlotte
12,2015,February,16958,5.4,winstonsalem
13,2015,February,21209,5.9,greensboro
14,2015,February,30480,4.7,raleigh
15,2015,February,56725,5.4,charlotte
16,2015,January,17733,5.6,winstonsalem
17,2015,January,22125,6.1,greensboro
18,2015,January,31855,5.0,raleigh
19,2015,January,58867,5.7,charlotte
20,2015,July,19071,6.0,winstonsalem
21,2015,July,23491,6.4,greensboro
22,2015,July,34744,5.2,raleigh
23,2015,July,62073,5.8,charlotte
24,2015,June,18681,5.9,winstonsalem
25,2015,June,22937,6.3,greensboro
26,2015,June,33771,5.1,raleigh
27,2015,June,60907,5.7,charlotte
28,2015,March,16437,5.2,winstonsalem
29,2015,March,20626,5.7,greensboro
30,2015,March,29926,4.6,raleigh
31,2015,March,55109,5.2,charlotte
32,2015,May,18246,5.7,winstonsalem
33,2015,May,22509,6.1,greensboro
34,2015,May,33140,5.0,raleigh
35,2015,May,59966,5.6,charlotte
36,2015,November,16319,5.1,winstonsalem
37,2015,November,20392,5.6,greensboro
38,2015,November,30379,4.6,raleigh
39,2015,November,54395,5.1,charlotte
40,2015,October,16357,5.1,winstonsalem
41,2015,October,20398,5.6,greensboro
42,2015,October,30608,4.6,raleigh
43,2015,October,54565,5.1,charlotte
44,2015,September,16255,5.1,winstonsalem
45,2015,September,20136,5.5,greensboro
46,2015,September,29966,4.6,raleigh
47,2015,September,53974,5.1,charlotte
48,2016,April,14331,4.5,winstonsalem
49,2016,April,17818,4.9,greensboro
50,2016,April,27572,4.1,raleigh
51,2016,April,48973,4.5,charlotte
52,2016,August,16317,5.1,winstonsalem
53,2016,August,20272,5.6,greensboro
54,2016,August,31495,4.7,raleigh
55,2016,August,55121,5.1,charlotte
56,2016,December,14231,4.4,winstonsalem
57,2016,December,17544,4.8,greensboro
58,2016,December,27658,4.1,raleigh
59,2016,December,49129,4.5,charlotte
60,2016,February,15679,4.9,winstonsalem
61,2016,February,19262,5.3,greensboro
62,2016,February,29798,4.5,raleigh
63,2016,February,52308,4.8,charlotte
64,2016,January,16075,5.1,winstonsalem
65,2016,January,19961,5.5,greensboro
66,2016,January,30461,4.6,raleigh
67,2016,January,53707,5.0,charlotte
68,2016,July,16502,5.1,winstonsalem
69,2016,July,20481,5.6,greensboro
70,2016,July,31719,4.6,raleigh
71,2016,July,55942,5.1,charlotte
72,2016,June,16462,5.1,winstonsalem
73,2016,June,20415,5.6,greensboro
74,2016,June,31613,4.7,raleigh
75,2016,June,55535,5.1,charlotte
76,2016,March,15418,4.8,winstonsalem
77,2016,March,18960,5.2,greensboro
78,2016,March,29363,4.4,raleigh
79,2016,March,51558,4.7,charlotte
80,2016,May,15046,4.7,winstonsalem
81,2016,May,18668,5.1,greensboro
82,2016,May,28962,4.3,raleigh
83,2016,May,50947,4.7,charlotte
84,2016,November,14619,4.5,winstonsalem
85,2016,November,18070,4.9,greensboro
86,2016,November,28531,4.2,raleigh
87,2016,November,51143,4.6,charlotte
88,2016,October,15117,4.7,winstonsalem
89,2016,October,18887,5.1,greensboro
90,2016,October,29850,4.4,raleigh
91,2016,October,52786,4.8,charlotte
92,2016,September,15056,4.7,winstonsalem
93,2016,September,18792,5.1,greensboro
94,2016,September,29148,4.3,raleigh
95,2016,September,52197,4.8,charlotte
96,2017,April,12467,3.9,winstonsalem
97,2017,April,15706,4.3,greensboro
98,2017,April,24633,3.6,raleigh
99,2017,April,43960,4.0,charlotte
100,2017,August,14896,4.7,winstonsalem
101,2017,August,18844,5.2,greensboro
102,2017,August,30238,4.4,raleigh
103,2017,August,51487,4.6,charlotte
104,2017,December,12311,3.9,winstonsalem
105,2017,December,15375,4.3,greensboro
106,2017,December,24605,3.6,raleigh
107,2017,December,42976,3.9,charlotte
108,2017,February,14433,4.5,winstonsalem
109,2017,February,17944,5.0,greensboro
110,2017,February,28497,4.2,raleigh
111,2017,February,50510,4.6,charlotte
112,2017,January,15136,4.8,winstonsalem
113,2017,January,18694,5.2,greensboro
114,2017,January,29570,4.4,raleigh
115,2017,January,52538,4.8,charlotte
116,2017,July,14747,4.6,winstonsalem
117,2017,July,18660,5.1,greensboro
118,2017,July,29654,4.2,raleigh
119,2017,July,50520,4.5,charlotte
120,2017,June,14575,4.5,winstonsalem
121,2017,June,18286,5.0,greensboro
122,2017,June,28873,4.2,raleigh
123,2017,June,49809,4.5,charlotte
124,2017,March,13510,4.2,winstonsalem
